Day of Week,Director,Genre,Movie Title,Release Date,Studio,Adjusted Gross ($mill),Budget ($mill),Gross ($mill),IMDb Rating,MovieLens Rating,Overseas ($mill),Overseas%,Profit ($mill),Profit%,Runtime (min),US ($mill),Gross % US
Friday,Brad Bird,action,Tomorrowland,22/05/2015,Buena Vista Studios,202.1,170,202.1,6.7,3.26,111.9,55.4,32.1,18.9,130,90.2,44.6
Friday,Scott Waugh,action,Need for Speed,14/03/2014,Buena Vista Studios,204.2,66,203.3,6.6,2.97,159.7,78.6,137.3,208,132,43.6,21.4
Friday,Patrick Hughes,action,The Expendables 3,15/08/2014,Lionsgate,207.1,100,206.2,6.1,2.93,166.9,80.9,106.2,106.2,126,39.3,19.1
Friday,"Phil Lord, Chris Miller",comedy,21 Jump Street,16/03/2012,Sony,208.8,42,201.6,7.2,3.62,63.1,31.3,159.6,380,109,138.4,68.7
Friday,Roland Emmerich,action,White House Down,28/06/2013,Sony,209.7,150,205.4,8,3.65,132.3,64.4,55.4,36.9,131,73.1,35.6
Friday,David Ayer,action,Fury,17/10/2014,Sony,212.8,80,211.8,5.8,2.85,126,59.5,131.8,164.8,134,85.8,40.5
Thursday,Rob Marshall,adventure,Into the Woods,25/12/2014,Buena Vista Studios,213.9,50,212.9,6,3.16,84.9,39.9,162.9,325.8,125,128,60.1
Friday,Daniel Espinosa,action,Safe House,10/02/2012,Universal,215.5,85,208.1,6.8,3.45,81.7,39.3,123.1,144.8,115,126.4,60.7
Friday,Gary Shore,action,Dracula Untold,10/10/2014,Universal,216.5,70,215.5,6.3,2.92,159.2,73.9,145.5,207.9,92,56.3,26.1
Friday,"Henry Joost, Ariel Schulman",horror,Paranormal Activity 3,21/10/2011,Paramount Pictures,218.8,5,207,5.9,2.9,103,49.8,202,4040,84,104,50.2
Friday,Eric Brevig,animation,Yogi Bear,17/12/2010,WB,219.9,80,201.6,4.5,2.17,101.3,50.3,121.6,152,80,100.2,49.7
Friday,Morten Tyldum,biography,The Imitation Game,28/11/2014,Weinstein Company,221,15,220,8.1,4,128.9,58.6,205,1366.7,114,91.1,41.4
Thursday,Bryan Singer,biography,Valkyrie,25/12/2008,UA Entertainment,221.2,75,200.3,7.1,3.44,117.2,58.5,125.3,167.1,121,83.1,41.5
Friday,Seth Gordon,comedy,Horrible Bosses,8/07/2011,WB/New Line,221.6,37,209.6,6.9,3.37,92.1,43.9,172.6,466.5,98,117.5,56.1
Friday,Ryan Murphy,drama,Eat Pray Love,13/08/2010,Sony,223.1,60,204.6,5.6,2.84,124,60.6,144.6,241,133,80.6,39.4
Friday,Paul Greengrass,drama,Captain Phillips,11/10/2013,Sony,223.4,55,218.8,7.9,3.84,111.7,51,163.8,297.8,134,107.1,49
Friday,Hayao Miyazaki,animation,Ponyo,14/08/2009,Buena Vista Studios,223.7,34,201.8,7.7,3.82,186.7,92.5,167.8,493.5,101,15.1,7.5
Friday,Jaume Collet-Serra,action,Non-Stop,28/02/2014,Universal,223.8,50,222.8,7,3.4,130.6,58.6,172.8,345.6,106,92.2,41.4
Friday,Jonathan Liebesman,action,Battle: Los Angeles,11/03/2011,Sony,223.9,70,211.8,7.6,3.65,128.3,60.6,141.8,202.6,116,83.6,39.4
Friday,Christopher McQuarrie,action,Jack Reacher,21/12/2012,Paramount Pictures,226.1,60,218.3,7,3.46,138.3,63.3,158.3,263.8,130,80.1,36.7
Friday,Dennis Dugan,comedy,Just Go With It,11/02/2011,Sony,227.2,80,214.9,6.4,3.17,111.9,52.1,134.9,168.6,117,103,47.9
Friday,Robert Luketic,comedy,The Ugly Truth,24/07/2009,Sony,227.6,38,205.3,6.5,3.21,116.4,56.7,167.3,440.3,96,88.9,43.3
Friday,Jake Kasdan,comedy,Bad Teacher,24/06/2011,Sony,228.6,19,216.2,5.7,2.96,115.9,53.6,197.2,1037.9,92,100.3,46.4
Wednesday,Tate Taylor,drama,The Help,10/08/2011,Buena Vista Studios,229,25,216.6,8.1,3.93,46.9,21.7,191.6,766.4,146,169.7,78.3
Friday,Todd Phillips,comedy,Due Date,5/11/2010,WB,231,65,211.8,6.6,3.17,111.2,52.5,146.8,225.9,95,100.5,47.5
Friday,Tommy Wirkola,action,Hansel and Gretel: Witch Hunters,25/01/2013,Paramount Pictures,231,50,226.3,6.1,2.9,170.6,75.4,176.3,352.6,88,55.7,24.6
Friday,Adam Shankman,musical,Hairspray (2007),20/07/2007,New Line Cinema,232.3,75,202.5,6.8,3.44,83.7,41.3,127.5,170,117,118.9,58.7
Friday,Martin Campbell,action,Green Lantern,17/06/2011,WB,232.5,200,219.9,5.7,2.87,103.3,47,19.9,10,114,116.6,53
Wednesday,Baz Luhrmann,adventure,Australia,26/11/2008,Fox,233.4,78,211.3,7.6,3.5,161.8,76.6,133.3,170.9,165,49.6,23.4
Friday,Neill Blomkamp,sci-fi,District 9,14/08/2009,TriStar,233.7,30,210.8,8,3.87,95.2,45.1,180.8,602.7,112,115.6,54.9
Friday,Paul Feig,action,The Heat,28/06/2013,Fox,234.7,43,229.9,6.6,4.07,70.3,30.6,186.9,434.7,117,159.6,69.4
Wednesday,Jon Turteltaub,action,The Sorcerer's Apprentice,14/07/2010,Buena Vista Studios,234.8,160,215.3,7.1,3.48,152.1,70.7,55.3,34.6,109,63.2,29.3
Thursday,Adam Shankman,comedy,Bedtime Stories,25/12/2008,Buena Vista Studios,235.2,80,212.9,6.1,3.12,102.8,48.3,132.9,166.1,99,110.1,51.7
Friday,Garry Marshall,comedy,Valentine's Day,12/02/2010,WB,236.1,52,216.5,5.8,3,106,49,164.5,316.4,125,110.5,51
Wednesday,Michael Mann,biography,Public Enemies,1/07/2009,Universal,237.3,102.5,214.1,7,3.36,117,54.6,111.6,108.9,140,97.1,45.4
Friday,Brian Grant,crime,Immortals,11/11/2011,Relativity Media,239.9,75,226.9,6.1,2.93,143.4,63.2,151.9,202.5,98,83.5,36.8
Friday,Ben Affleck,drama,Argo,12/10/2012,WB,240.6,44.5,232.3,7.8,3.9,96.3,41.5,187.8,422,120,136,58.5
Friday,Michel Gondry,action,The Green Hornet,14/01/2011,Sony,240.8,110,227.8,5.9,2.97,129,56.6,117.8,107.1,119,98.8,43.4
Friday,Peyton Reed,comedy,The Break-Up,2/06/2006,Universal,241.8,52,205,5.8,2.94,86.3,42.1,153,294.2,106,118.7,57.9
Friday,Nancy Meyers,comedy,The Holiday,8/12/2006,Sony,241.9,85,205.1,6.9,3.53,141.9,69.2,120.1,141.3,138,63.2,30.8
Friday,Tom Vaughan,comedy,What Happens in Vegas,9/05/2008,Fox,242.3,35,219.4,7.3,3.51,139.1,63.4,184.4,526.9,99,80.3,36.6
Friday,Nancy Meyers,comedy,It's Complicated,25/12/2009,Universal,242.9,75,219.1,6.6,2.5,106.4,48.5,144.1,192.1,120,112.7,51.5
Friday,"Hayden Schlossberg, Jon Hurwitz",comedy,American Reunion,6/04/2012,Universal,243.4,50,235,6.8,3.17,178,75.7,185,370,113,57,24.3
Wednesday,Jose Padilha,sci-fi,RoboCop,12/02/2014,Sony,243.8,120,242.7,7.1,3.34,184.1,75.9,122.7,102.3,117,58.6,24.1
Friday,Klay Hall,animation,Planes,9/08/2013,Buena Vista Studios,244.3,50,239.3,5.7,2.86,149,62.3,189.3,378.6,91,90.3,37.7
Friday,Brett Ratner,action,Hercules (2015),25/07/2014,Paramount Pictures,244.5,100,243.4,6.1,3.33,170.7,70.1,143.4,143.4,98,72.7,29.9
Friday,David O. Russell,romance,Silver Linings Playbook,16/11/2012,Weinstein Company,244.9,21,236.4,7.8,3.86,104.3,44.1,215.4,1025.7,122,132.1,55.9
Friday,David Fincher,biography,The Social Network,1/10/2010,Sony,245.3,40,224.9,7.8,3.67,128,56.9,184.9,462.3,120,97,43.1
Thursday,Doug Liman,action,Jumper,14/02/2008,Fox,245.4,82.5,222.2,6.1,2.98,142.1,63.9,139.7,169.3,88,80.2,36.1
Tuesday,David Fincher,crime,The Girl with the Dragon Tattoo (2011),20/12/2011,Sony,245.9,90,232.6,7.9,3.87,130.1,55.9,142.6,158.4,158,102.5,44.1
Wednesday,Dean Parisot,comedy,Fun with Dick and Jane,21/12/2005,Sony,246,140,202,6.1,3,91.7,45.4,62,44.3,90,110.3,54.6
Friday,Peyton Reed,comedy,Yes Man,19/12/2008,WB,246.5,50,223.2,6.9,3.46,125.6,56.2,173.2,346.4,104,97.7,43.8
