A,B,C,D,E
1.276,21.400,63.957,216.204,528
1.002,21.950,61.697,204.484,514
1.114,22.454,63.522,205.608,514
1.133,22.494,61.590,206.565,501
0.845,21.654,63.729,201.289,532
0.955,21.046,61.626,212.664,524
1.115,21.378,60.224,195.096,506
1.116,22.230,64.405,203.063,506
0.995,19.580,58.587,214.754,504
1.056,19.747,63.555,196.931,507
1.010,21.387,60.978,199.097,509
1.143,21.067,62.605,201.828,506
1.033,20.640,60.374,196.369,511
1.060,19.370,62.926,200.464,510
1.173,21.129,64.279,198.826,514
1.032,20.129,60.842,203.442,510
0.983,21.901,62.931,197.319,524
1.290,22.179,61.640,199.646,520
1.060,22.222,62.417,209.883,513
1.171,21.011,65.572,205.635,514
1.288,19.652,59.459,209.847,498
1.294,20.586,60.505,214.615,524
1.287,21.906,60.278,214.550,507
1.180,21.947,61.690,208.070,519
1.138,19.901,62.596,211.632,503
1.085,20.565,65.699,208.361,514
1.023,21.539,60.651,205.159,503
1.168,21.577,61.583,206.980,499
0.951,21.439,62.333,208.175,533
1.194,20.087,64.234,198.420,505
1.093,22.713,60.510,200.868,509
1.034,22.127,59.840,199.263,505
1.050,22.930,63.899,205.438,497
1.184,20.000,58.910,210.940,513
1.192,21.319,63.714,201.745,499
1.168,20.197,60.621,202.722,510
1.065,19.625,60.713,193.883,516
0.940,19.896,62.104,201.302,525
0.971,21.267,61.921,199.160,515
1.083,21.772,63.647,215.816,523
1.063,20.761,64.199,208.276,516
0.938,20.976,60.524,206.400,509
1.191,21.317,63.573,202.668,500
1.059,20.983,62.758,216.297,509
1.004,20.654,61.073,207.407,494
1.106,21.157,62.464,202.013,507
0.958,20.507,60.914,207.080,498
1.178,22.494,57.860,207.131,516
1.036,20.603,61.734,203.511,506
0.932,22.152,64.159,200.933,495
1.152,20.424,62.284,203.403,516
1.169,20.274,59.233,197.085,516
0.981,20.493,60.807,204.737,490
1.119,21.524,62.177,203.446,510
1.140,18.227,65.912,206.950,503
1.061,21.494,61.768,194.847,530
1.089,22.020,60.616,212.682,512
1.161,19.955,64.422,208.449,523
1.037,20.519,66.608,199.700,508
1.214,21.098,63.166,203.003,513
0.969,22.658,61.764,201.599,516
1.054,19.666,59.307,208.469,508
