sex,height,weight
1,71.74,259.88
1,71.00,186.73
2,63.83,172.17
1,67.74,174.66
2,67.28,169.20
1,66.73,172.31
2,66.40,147.36
2,63.37,149.42
1,65.99,140.03
1,65.60,168.71
2,61.30,207.86
2,57.08,185.83
1,62.40,137.53
2,69.60,156.60
2,64.09,129.34
2,64.33,158.92
2,66.57,128.00
1,67.11,162.86
1,71.47,289.93
2,58.02,127.16
2,66.33,174.77
2,61.29,101.07
1,66.03,141.93
2,63.04,158.14
1,71.60,215.06
2,63.92,162.26
1,61.52,129.66
1,74.73,205.90
2,66.55,184.97
1,69.47,225.18
1,66.67,208.85
2,66.28,234.90
1,77.74,141.29
1,78.15,221.17
1,70.37,182.06
2,66.86,137.84
2,64.50,199.73
1,71.24,235.61
2,60.40,171.50
2,64.66,213.30
2,66.28,135.00
2,69.76,125.19
1,65.76,146.60
1,68.63,170.90
1,68.28,202.45
2,62.51,115.15
1,71.11,177.70
1,73.60,150.96
1,64.31,181.09
2,60.67,118.81
2,67.12,144.91
2,65.52,192.25
2,61.32,157.87
2,59.48,129.51
2,63.54,141.59
2,63.44,170.99
1,70.65,236.60
1,70.91,220.77
2,62.40,109.54
1,64.51,175.93
2,64.82,175.65
1,62.97,158.87
2,59.87,179.20
2,64.95,120.00
1,66.58,191.86
1,66.12,191.19
2,64.90,126.86
1,73.12,162.74
2,68.40,120.88
2,64.23,140.00
2,65.23,146.43
1,73.31,199.76
2,64.71,131.96
1,71.85,172.99
1,68.67,201.38
2,66.32,172.84
2,64.26,148.78
1,68.79,189.58
1,70.01,200.07
2,63.30,133.23
2,66.21,136.63
2,64.43,148.34
1,67.79,179.73
2,68.52,138.99
2,62.50,219.15
2,60.40,120.88
2,59.70,98.66
2,60.73,135.99
1,71.96,191.09
2,60.93,114.09
2,66.19,132.56
2,62.92,198.67
2,65.00,122.44
2,61.07,162.35
2,73.19,210.83
2,66.62,153.24
2,57.67,129.58
1,67.15,219.83
2,65.53,190.02
2,64.95,109.05
1,69.48,200.90
2,61.61,127.94
2,59.72,160.75
1,73.73,167.79
