Acne,Food,Frequency
5,Burgers,21
6,Chocolate,26
5,Ice cream,17
1,Ice cream,1
0,Cake,2
10,Donuts,15
1,Ice cream,10
10,Burgers,13
0,Lollies,12
7,Pure Sugar,20
0,Cake,10
7,Cheese Pizza,28
0,Brownies,11
8,Brownies,13
2,Milkshakes,1
10,Soft Drink,4
4,Cheese Pizza,11
2,Cake,7
3,Cake,6
3,Brownies,19
0,Soft Drink,16
4,Burgers,21
0,Donuts,31
7,Brownies,9
0,Donuts,17
10,Pure Sugar,2
0,Ice cream,12
0,Chocolate,12
0,Ice cream,7
0,Burgers,15
3,Chocolate,12
1,Lollies,23
10,Ice cream,18
1,Brownies,3
10,Soft Drink,20
0,Ice cream,26
0,Ice cream,5
7,Ice cream,17
0,Cake,2
1,Chocolate,23
1,Soft Drink,18
3,Donuts,18
1,Donuts,1
1,Chocolate,1
2,Milkshakes,16
3,Pure Sugar,17
10,Cake,14
4,Ice cream,11
0,Lollies,30
5,Cake,22
10,Lollies,26
0,Chocolate,5
0,Chocolate,26
0,Pure Sugar,18
1,Burgers,13
4,Burgers,21
1,Cheese Pizza,6
0,Brownies,20
3,Pure Sugar,27
5,Soft Drink,16
2,Pure Sugar,21
4,Donuts,22
3,Milkshakes,3
4,Milkshakes,14
2,Brownies,16
2,Soft Drink,3
6,Soft Drink,18
3,Cake,14
0,Donuts,11
0,Donuts,13
2,Ice cream,9
3,Cheese Pizza,21
6,Cake,14
5,Lollies,11
1,Chocolate,13
6,Ice cream,23
3,Burgers,17
1,Donuts,13
2,Milkshakes,19
1,Pure Sugar,25
5,Pure Sugar,6
1,Cheese Pizza,20
2,Pure Sugar,16
9,Pure Sugar,18
10,Ice cream,21
10,Pure Sugar,27
5,Pure Sugar,1
0,Brownies,30
2,Pure Sugar,28
10,Ice cream,23
1,Milkshakes,26
0,Cake,6
0,Burgers,8
3,Burgers,14
0,Chocolate,13
5,Soft Drink,14
1,Burgers,22
1,Donuts,2
