2015 rank,City,State,2015 estimate,2010 Census,Change,2014 land area,2010 population density,Location
1,New York,New York,8550405,8175133,0.0459,302.6 sq mi,"27,012 per sq mi",40.6643°N 73.9385°W
2,Los Angeles,California,3971883,3792621,0.0473,468.7 sq mi,"8,092 per sq mi",34.0194°N 118.4108°W
3,Chicago,Illinois,2720546,2695598,0.0093,227.6 sq mi,"11,842 per sq mi",41.8376°N 87.6818°W
4,Houston,Texas,2296224,2100263,0.0933,599.6 sq mi,"3,501 per sq mi",29.7805°N 95.3863°W
5,Philadelphia,Pennsylvania,1567442,1526006,0.0272,134.1 sq mi,"11,379 per sq mi",40.0094°N 75.1333°W
6,Phoenix,Arizona,1563025,1445632,0.0812,516.7 sq mi,"2,798 per sq mi",33.5722°N 112.0880°W
7,San Antonio,Texas,1469845,1327407,0.1073,460.9 sq mi,"2,880 per sq mi",29.4724°N 98.5251°W
8,San Diego,California,1394928,1307402,0.0669,325.2 sq mi,"4,020 per sq mi",32.8153°N 117.1350°W
9,Dallas,Texas,1300092,1197816,0.0854,340.5 sq mi,"3,518 per sq mi",32.7757°N 96.7967°W
10,San Jose,California,1026908,945942,0.0856,176.6 sq mi,"5,359 per sq mi",37.2969°N 121.8193°W
11,Austin,Texas,931830,790390,0.1789,322.48 sq mi,"2,653 per sq mi",30.3072°N 97.7560°W
12,Jacksonville,Florida,868031,821784,0.0563,747.0 sq mi,"1,120 per sq mi",30.3370°N 81.6613°W
13,San Francisco,California,864816,805235,0.074,46.9 sq mi,"17,179 per sq mi",37.7751°N 122.4193°W
14,Indianapolis,Indiana,853173,820445,0.0399,361.4 sq mi,"2,270 per sq mi",39.7767°N 86.1459°W
15,Columbus,Ohio,850106,787033,0.0801,217.2 sq mi,"3,624 per sq mi",39.9848°N 82.9850°W
16,Fort Worth,Texas,833319,741206,0.1243,339.8 sq mi,"2,181 per sq mi",32.7795°N 97.3463°W
17,Charlotte,North Carolina,827097,731424,0.1308,297.7 sq mi,"2,457 per sq mi",35.2087°N 80.8307°W
18,Seattle,Washington,684451,608660,0.1245,83.9 sq mi,"7,251 per sq mi",47.6205°N 122.3509°W
19,Denver,Colorado,682545,600158,0.1373,153.0 sq mi,"3,923 per sq mi",39.7618°N 104.8806°W
20,El Paso,Texas,681124,649121,0.0493,255.2 sq mi,"2,543 per sq mi",31.8484°N 106.4270°W
21,Detroit,Michigan,677116,713777,?5.14%,138.8 sq mi,"5,144 per sq mi",42.3830°N 83.1022°W
22,Washington,District of Columbia,672228,601723,0.1172,61.0 sq mi,"9,856 per sq mi",38.9041°N 77.0171°W
23,Boston,Massachusetts,667137,617594,0.0802,48.3 sq mi,"12,793 per sq mi",42.3320°N 71.0202°W
24,Memphis,Tennessee,655770,646889,0.0137,315.1 sq mi,"2,053 per sq mi",35.1035°N 89.9785°W
25,Nashville,Tennessee,654610,601222,0.0888,475.1 sq mi,"1,265 per sq mi",36.1718°N 86.7850°W
26,Portland,Oregon,632309,583776,0.0831,133.4 sq mi,"4,375 per sq mi",45.5370°N 122.6500°W
27,Oklahoma City,Oklahoma,631346,579999,0.0885,606.4 sq mi,956 per sq mi,35.4671°N 97.5137°W
28,Las Vegas,Nevada,623747,583756,0.0685,135.8 sq mi,"4,298 per sq mi",36.2277°N 115.2640°W
29,Baltimore,Maryland,621849,620961,0.0014,80.9 sq mi,"7,672 per sq mi",39.3002°N 76.6105°W
30,Louisville,Kentucky,615366,597337,0.0302,325.2 sq mi,"1,837 per sq mi",38.1781°N 85.6667°W
31,Milwaukee,Wisconsin,600155,594833,0.0089,96.1 sq mi,"6,188 per sq mi",43.0633°N 87.9667°W
